,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Interpolate N,Interpolate %,,,,,,,,,,,,,
PlayerStats,RunSpeed,MeleeAttackDistance,MeleeAttackPrehit,RangedAttackDistance,RangedAttackPrehit,,,0,0,,,,,,,,,,,,,
Character,"7,92","0,8","0,3","3,7","0,2",,,1,"0,09090909091",,,,,,,,,,,,,
,,,,,,,,2,"0,1818181818",,,,,,,,,,,,,
,,,,,,,,3,"0,2727272727",,,,,,,,,,,,,
,,,,,,,,4,"0,3636363636",,,,,,,,,,,,,
,,,,,,,,5,"0,4545454545",,,,,,,,,,,,,
,,,,,,,,6,"0,5454545455",,,,,,,,,,,,,
,,,,,,,,7,"0,6363636364",,,,,,,,,,,,,
,,,,,,,,8,"0,7272727273",,,,,,,,,,,,,
,,,,,,,,9,"0,8181818182",,,,,,,,,,,,,
,,,,,,,,10,"0,9090909091",,,,,,,,,,,,,
,,,,,,,,11,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,K_dVisionDist,K_dFireDelay,K_dBetweenShots,K_dDamage,KSumm
,,,,,,,,,,,,,,,,,Growth Coef,"0,45","0,5","0,6",1,"2,55"
enemy_johnny,VisionDistance,VisionAng,FireDelay,BetweenShotsDelay,RifleDamage,DmgFront,HearingRangeAdditional,HeardWatchTime,HeardWaitTime,HearWanderTime,TimeToAlertOthers,AgentSpeed,,,RunTime,ShootTime,ShotsAvg,dVisionDist,dFireDelay,dBetweenShots,dDamagePerShot,
"1,31","6,2",60,"0,3","0,3","0,4","1,309090909",0,"0,3","0,2",6,"1,8",4,,,"0,6818181818","0,6818181818","3,272727273","1,048235294","-0,1470588235","-0,07764705882","0,1198257081",
"1,441","6,338271765","61,09090909","0,2806016043","0,2897576471","0,4158061002","1,447114532","0,2727272727","0,291","0,194","6,18","1,734545455","4,181818182",,,"0,699276738","0,7186751337","3,480262871","0,9739609952","-0,1366387479","-0,06610851592","0,1126802421",
"1,5851","6,472664228","62,18181818","0,2617474427","0,2806356326","0,4313543361","1,591064521","0,5454545455","0,282","0,188","6,36","1,669090909","4,363636364",,,"0,7162454834","0,7544980406","3,688532578","0,9092978408","-0,1275670372","-0,05693828888","0,1063178526",
