,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Interpolate N,Interpolate %,,,,,,,,,,,,,,,,,,,,,,,
PlayerStats,RunSpeed,MeleeAttackDistance,MeleeAttackPrehit,RangedAttackDistance,RangedAttackPrehit,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
Character,"7,92","0,8","0,3","3,7","0,2",,,1,"0,09090909091",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,"0,1818181818",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,"0,2727272727",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,"0,3636363636",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,"0,4545454545",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,"0,5454545455",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,"0,6363636364",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,"0,7272727273",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,"0,8181818182",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,"0,9090909091",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,K_dVisionDist,K_dFireDelay,K_dBetweenShots,K_dDamage,KSumm
,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth Coef,"0,4","0,5","0,3","0,7","1,9"
enemy_johnny,VisionDistance,VisionAng,FireDelay,BetweenShotsDelay,RifleDamage,DmgFront,HearingRangeAdditional,HeardWatchTime,HeardWaitTime,HearWanderTime,TimeToAlertOthers,AgentSpeed,AgentRotationSpeed,,,,,,,,,,,,RunTime,ShootTime,ShotsAvg,dVisionDist,dFireDelay,dBetweenShots,dDamagePerShot,
"0,917","6,2",60,"0,3","0,3","0,4","1,309090909",0,"0,3","0,2",6,"1,8",4,160,,,,,,,,,,,,"0,6818181818","0,6818181818","3,272727273","1,250526316","-0,1973684211","-0,05210526316","0,1125730994",
